PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,BALANCE_AS_OF_DATE,STOCK_MT,SELL_VALUE_USD,STATUS,DAYS_LEFT,LOSS_VALUE_USD
CHINA-WAREHOUSE,MAT-0259,9735A,2023-12-31,38.725,17023.58,Healthy,219.0,0.0
CHINA-WAREHOUSE,MAT-0259,1458B,2023-12-31,1.175,516.6,Healthy,219.0,0.0
CHINA-WAREHOUSE,MAT-0259,9226A,2023-12-31,1.2,527.5200000000001,Healthy,219.0,0.0
CHINA-WAREHOUSE,MAT-0259,1423A,2023-12-31,45.0,19782.000000000004,Healthy,219.0,0.0
CHINA-WAREHOUSE,MAT-0259,3487A,2023-12-31,45.0,19782.000000000004,Healthy,219.0,0.0
CHINA-WAREHOUSE,MAT-0098,9004A,2023-12-31,43.925,13713.420000000002,Healthy,353.0,0.0
CHINA-WAREHOUSE,MAT-0098,8715A,2023-12-31,156.575,48882.68000000001,Healthy,353.0,0.0
CHINA-WAREHOUSE,MAT-0099,M6854B,2023-12-31,1.2,722.4000000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M7450B,2023-12-31,24.75,14899.500000000002,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M3678A,2023-12-31,1.375,827.82,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M8356B,2023-12-31,6.875,4138.820000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M6577A,2023-12-31,57.75,34765.5,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M7346A,2023-12-31,85.175,51275.420000000006,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M8769C,2023-12-31,38.45,23146.9,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M8164A,2023-12-31,82.5,49665.00000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M5829B,2023-12-31,82.5,49665.00000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M1528C,2023-12-31,11.0,6622.000000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M2486A,2023-12-31,15.125,9105.320000000002,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M3791B,2023-12-31,9.625,5794.320000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M5597B,2023-12-31,57.75,34765.5,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M9152A,2023-12-31,24.725,14884.520000000002,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M9486B,2023-12-31,16.5,9933.000000000002,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M8201C,2023-12-31,17.875,10760.820000000002,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M2579A,2023-12-31,28.875,17382.820000000003,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M4688B,2023-12-31,26.125,15727.320000000002,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M6726C,2023-12-31,82.5,49665.00000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M7918A,2023-12-31,23.375,14071.820000000002,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M9252C,2023-12-31,15.125,9105.320000000002,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M1995C,2023-12-31,77.0,46354.00000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M3007A,2023-12-31,90.75,54631.50000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M8070B,2023-12-31,88.0,52976.00000000001,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0099,M3971C,2023-12-31,24.75,14899.500000000002,Healthy,132.0,0.0
CHINA-WAREHOUSE,MAT-0375,P9558A,2023-12-31,0.225,180.18,Healthy,136.0,0.0
CHINA-WAREHOUSE,MAT-0375,P5154A,2023-12-31,0.0,55.440000000000005,Healthy,136.0,0.0
CHINA-WAREHOUSE,MAT-0376,P8018A,2023-12-31,1.175,0.0,Healthy,337.0,0.0
CHINA-WAREHOUSE,MAT-0376,P6453A,2023-12-31,1.5,0.0,Healthy,337.0,0.0
CHINA-WAREHOUSE,MAT-0312,P3115A,2023-12-31,0.975,540.5400000000001,Healthy,367.0,0.0
CHINA-WAREHOUSE,MAT-0312,P9167A,2023-12-31,31.35,17435.88,Healthy,367.0,0.0
CHINA-WAREHOUSE,MAT-0233,P5822A,2023-12-31,0.6,332.64000000000004,Healthy,427.0,0.0
CHINA-WAREHOUSE,MAT-0233,P4793A,2023-12-31,3.0,1663.2,Healthy,427.0,0.0
CHINA-WAREHOUSE,MAT-0233,P7722A,2023-12-31,3.0,1663.2,Healthy,427.0,0.0
CHINA-WAREHOUSE,MAT-0377,P9024A,2023-12-31,1.325,1867.3200000000002,Healthy,397.0,0.0
CHINA-WAREHOUSE,MAT-0377,P6100A,2023-12-31,50.9,66830.40000000001,Healthy,397.0,0.0
CHINA-WAREHOUSE,MAT-0377,P4150A,2023-12-31,98.9,129729.6,Healthy,397.0,0.0
CHINA-WAREHOUSE,MAT-0377,P6717A,2023-12-31,1.1,1441.44,Healthy,397.0,0.0
CHINA-WAREHOUSE,MAT-0197,P2939A,2023-12-31,0.125,89.32000000000001,Healthy,266.0,0.0
CHINA-WAREHOUSE,MAT-0198,1531,2023-12-31,1.125,494.62000000000006,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,4076,2023-12-31,1.35,593.46,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,5584,2023-12-31,0.6,263.76000000000005,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,7994,2023-12-31,0.325,2560.7400000000002,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,8776,2023-12-31,1.3,571.48,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,6338,2023-12-31,1.075,472.64000000000004,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,1073,2023-12-31,2.65,1164.94,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,8336,2023-12-31,76.425,33596.5,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,4423,2023-12-31,44.875,19727.120000000003,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,2101,2023-12-31,20.525,9022.86,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,7701,2023-12-31,23.325,10253.740000000002,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,5498,2023-12-31,112.175,49312.200000000004,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,4008,2023-12-31,53.0,23298.800000000003,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,7484,2023-12-31,2.5,1099.0,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,9399,2023-12-31,157.875,69401.92000000001,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0198,9553,2023-12-31,74.25,32640.300000000003,Healthy,152.0,0.0
CHINA-WAREHOUSE,MAT-0100,SCRAP,2023-12-31,4.599,3889.0600000000004,Expired,,1166.718
CHINA-WAREHOUSE,MAT-0095,SCRAP,2023-12-31,1.631,315.14000000000004,Expired,,141.81300000000002
CHINA-WAREHOUSE,MAT-0095,SCRAP,2023-12-31,0.025,4.9,Expired,,2.205
CHINA-WAREHOUSE,MAT-0260,8509A,2023-12-31,2.4,1256.64,Expired,,251.32800000000003
CHINA-WAREHOUSE,MAT-0204,4880A,2023-12-31,9.6,5026.56,Expired,,1759.296
CHINA-WAREHOUSE,MAT-0204,8331A,2023-12-31,0.6,314.16,Expired,,109.956
CHINA-WAREHOUSE,MAT-0052,4755A,2023-12-31,8.4,4398.240000000001,Healthy,251.0,0.0
CHINA-WAREHOUSE,MAT-0412,1045A,2023-12-31,4.2,2199.1200000000003,Expired,,659.7360000000001
CHINA-WAREHOUSE,MAT-0261,P9226A,2023-12-31,0.0,24.92,Healthy,147.0,0.0
CHINA-WAREHOUSE,MAT-0261,P3205A,2023-12-31,1.175,1270.92,Healthy,147.0,0.0
CHINA-WAREHOUSE,MAT-0261,P7905A,2023-12-31,203.875,203222.6,Healthy,147.0,0.0
CHINA-WAREHOUSE,MAT-0141,SCRAP,2023-12-31,8.298,4344.620000000001,Expired,,1086.1550000000002
CHINA-WAREHOUSE,MAT-0313,P7592A,2023-12-31,1.5,887.0400000000001,Healthy,187.0,0.0
CHINA-WAREHOUSE,MAT-0313,P8966A,2023-12-31,1.025,568.2600000000001,Healthy,187.0,0.0
CHINA-WAREHOUSE,MAT-0199,SCRAP,2023-12-31,5.999,12051.2,Expired,,4217.92
CHINA-WAREHOUSE,MAT-0199,T2455A,2023-12-31,1.175,2360.5400000000004,Expired,,826.1890000000001
CHINA-WAREHOUSE,MAT-0199,V8051A,2023-12-31,0.875,1757.8400000000001,Expired,,615.244
CHINA-WAREHOUSE,MAT-0199,V7518A,2023-12-31,0.1,200.9,Expired,,70.315
CHINA-WAREHOUSE,MAT-0199,V2061A,2023-12-31,0.675,1356.0400000000002,Expired,,474.61400000000003
CHINA-WAREHOUSE,MAT-0199,V4761A,2023-12-31,0.525,1054.76,Expired,,369.166
CHINA-WAREHOUSE,MAT-0199,V2724A,2023-12-31,0.125,251.16000000000003,Expired,,87.906
CHINA-WAREHOUSE,MAT-0199,V6816A,2023-12-31,1.0,2009.0000000000002,Expired,,703.1500000000001
CHINA-WAREHOUSE,MAT-0199,V3118A,2023-12-31,0.65,1305.92,Expired,,457.072
CHINA-WAREHOUSE,MAT-0199,V2011A,2023-12-31,0.35,703.22,Expired,,246.12699999999998
CHINA-WAREHOUSE,MAT-0199,V4008A,2023-12-31,1.3,2611.7000000000003,Expired,,914.095
CHINA-WAREHOUSE,MAT-0199,V3640A,2023-12-31,1.325,2661.96,Expired,,931.6859999999999
CHINA-WAREHOUSE,MAT-0199,V6558A,2023-12-31,1.5,3013.5000000000005,Expired,,1054.7250000000001
CHINA-WAREHOUSE,MAT-0199,V6789A,2023-12-31,0.725,1456.5600000000002,Expired,,509.79600000000005
CHINA-WAREHOUSE,MAT-0200,8656A,2023-12-31,1.2,628.32,Expired,,157.08
CHINA-WAREHOUSE,MAT-0142,V5128A,2023-12-31,1.425,2118.76,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V7560A,2023-12-31,1.45,2155.86,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V8893A,2023-12-31,1.15,1709.8200000000002,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V6677A,2023-12-31,1.1,1635.4800000000002,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V7073A,2023-12-31,1.25,1858.5000000000002,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V4933A,2023-12-31,188.85,280782.18000000005,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V6666A,2023-12-31,223.45,332225.46,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V6609A,2023-12-31,63.0,93668.40000000001,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V2490A,2023-12-31,211.5,314458.2,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V6324A,2023-12-31,146.925,218448.16000000003,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0142,V1368A,2023-12-31,260.9,387906.12000000005,Healthy,194.0,0.0
CHINA-WAREHOUSE,MAT-0143,V1228A,2023-12-31,0.1,148.68,Healthy,129.0,0.0
CHINA-WAREHOUSE,MAT-0143,V5600A,2023-12-31,1.25,1858.5000000000002,Healthy,129.0,0.0
CHINA-WAREHOUSE,MAT-0143,V5108A,2023-12-31,14.85,22078.980000000003,Healthy,129.0,0.0
CHINA-WAREHOUSE,MAT-0143,V5281A,2023-12-31,3.0,4460.400000000001,Healthy,129.0,0.0
CHINA-WAREHOUSE,MAT-0143,V5554A,2023-12-31,203.95,303232.86000000004,Healthy,129.0,0.0
CHINA-WAREHOUSE,MAT-0143,V1211A,2023-12-31,124.5,185106.6,Healthy,129.0,0.0
CHINA-WAREHOUSE,MAT-0143,V9895A,2023-12-31,305.925,454849.36000000004,Healthy,129.0,0.0
CHINA-WAREHOUSE,MAT-0143,V4276A,2023-12-31,178.425,265282.36000000004,Healthy,129.0,0.0
CHINA-WAREHOUSE,MAT-0143,V2118A,2023-12-31,229.45,341146.26,Healthy,129.0,0.0
CHINA-WAREHOUSE,MAT-0314,V4288A,2023-12-31,307.15,513862.0200000001,Healthy,102.0,0.0
CHINA-WAREHOUSE,MAT-0314,V5728A,2023-12-31,3.2,5353.6,Healthy,102.0,0.0
CHINA-WAREHOUSE,MAT-0314,V3829A,2023-12-31,302.925,506793.56000000006,Healthy,102.0,0.0
CHINA-WAREHOUSE,MAT-0314,V5271A,2023-12-31,308.9,516789.70000000007,Healthy,102.0,0.0
CHINA-WAREHOUSE,MAT-0144,V2780A,2023-12-31,169.5,252012.60000000003,Healthy,167.0,0.0
CHINA-WAREHOUSE,MAT-0144,V2658A,2023-12-31,340.375,506069.62000000005,Healthy,167.0,0.0
CHINA-WAREHOUSE,MAT-0144,V1646A,2023-12-31,473.85,704520.18,Healthy,167.0,0.0
CHINA-WAREHOUSE,MAT-0144,V2470A,2023-12-31,290.95,432584.46,Healthy,167.0,0.0
CHINA-WAREHOUSE,MAT-0144,V3163A,2023-12-31,41.75,62073.90000000001,Healthy,167.0,0.0
CHINA-WAREHOUSE,MAT-0144,V2128A,2023-12-31,186.9,277882.92000000004,Healthy,167.0,0.0
CHINA-WAREHOUSE,MAT-0145,V4024A,2023-12-31,1.45,2182.32,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V6439A,2023-12-31,0.3,451.50000000000006,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V4459A,2023-12-31,1.425,2144.6600000000003,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V7020A,2023-12-31,1.075,1617.8400000000001,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V8570A,2023-12-31,1.275,1918.8400000000001,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V4616A,2023-12-31,1.45,2182.32,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V6075A,2023-12-31,1.425,2144.6600000000003,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V3108A,2023-12-31,1.5,2257.5,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V5715A,2023-12-31,64.325,96809.16,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V1630A,2023-12-31,349.375,525809.3400000001,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V1892A,2023-12-31,143.9,216569.50000000003,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V1395A,2023-12-31,569.85,857624.3200000001,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V9333A,2023-12-31,40.5,60952.50000000001,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V2710A,2023-12-31,262.45,394987.32000000007,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V2944A,2023-12-31,470.95,708779.8200000001,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V8079A,2023-12-31,202.5,304762.5,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V1803A,2023-12-31,355.45,534952.3200000001,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V2181A,2023-12-31,569.825,857586.66,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V3873A,2023-12-31,49.5,74497.5,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0145,V9093A,2023-12-31,1.5,2257.5,Healthy,196.0,0.0
CHINA-WAREHOUSE,MAT-0001,V8111A,2023-12-31,0.725,1221.0800000000002,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V6573A,2023-12-31,1.45,2442.1600000000003,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V3022A,2023-12-31,1.45,2442.1600000000003,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V8378A,2023-12-31,0.575,968.3800000000001,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V9426A,2023-12-31,1.4,2357.88,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V5047A,2023-12-31,1.3,2189.46,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V9246A,2023-12-31,1.425,2400.0200000000004,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V5743A,2023-12-31,1.325,2231.6000000000004,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V2917A,2023-12-31,1.275,2147.32,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V9091A,2023-12-31,1.375,2315.7400000000002,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V7687A,2023-12-31,1.25,2105.32,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V6880A,2023-12-31,1.425,2400.0200000000004,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V4178A,2023-12-31,1.425,2400.0200000000004,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V5711A,2023-12-31,1.375,2315.7400000000002,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V7718A,2023-12-31,1.425,2400.0200000000004,Healthy,97.0,0.0
CHINA-WAREHOUSE,MAT-0001,V4922A,2023-12-31,1.35,2273.7400000000002,Healthy,97.0,0.0
